ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
1620668-20160516,2455262,295026,1,BUCCI BIG & TALL INC.,BUCCI BIG & TALL INC.,558 W ROOSEVELT RD,CHICAGO,IL,60607,25,28,25-28,1,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,1620668,RENEW,,3/15/2016,5/18/2016,N,5/16/2016,5/15/2018,5/18/2016,8/30/2016,AAI,,,41.86733857,-87.64159006,"(41.86733856638269, -87.64159005699716)"
2488345-20160830,2488345,409564,1,"BURKS HEATING AND COOLING SOLUTIONS, LLC","BURKS HEATING AND COOLING SOLUTIONS, LLC",5722 S WOOD ST 1ST,CHICAGO,IL,60636,15,35,15-35,7,4404,Regulated Business License,674,Home Repair Services (Home Occ),2488345,ISSUE,8/30/2016,8/30/2016,8/30/2016,N,8/30/2016,9/15/2018,8/30/2016,8/30/2016,AAI,,,41.78961679,-87.669472,"(41.78961679000226, -87.66947199630827)"
2354707-20160916,2482568,393149,1,ANGELINE R. MC CARTHY,ANGELINE R. MC CARTHY,17707 S HARLEM ST 1,TINLEY PARK,IL,60477,,,,,4406,Peddler License,915,"Street Performer, Moving Along the Public Way (Special)",2354707,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,,8/30/2016,AAI,,,,,
2483710-20160830,2483710,316966,3,"OLD TOWN OIL, LLC","OLD TOWN OIL, LLC",1543 N WELLS ST 1ST,CHICAGO,IL,60610,27,54,27-54,18,1006,Retail Food Establishment,782,Sale of Food Prepared Onsite Without Dining Area,2483710,C_LOC,8/4/2016,8/4/2016,8/22/2016,N,8/30/2016,2/15/2018,8/30/2016,8/30/2016,AAI,,48,41.91040819,-87.63454009,"(41.91040819050054, -87.63454009171004)"
2374115-20160916,2481313,352159,3,Genesys Works Chicago,Genesys Works Chicago,180 N WABASH AVE 6 600,CHICAGO,IL,60601,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2374115,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/30/2016,AAI,,1,41.8853537,-87.62641329,"(41.885353703982936, -87.62641328540737)"
1169428-20160316,2444497,218178,1,SHINE-AWN INC,SHINE-AWN INC,6631 W 16TH ST,BERWYN,IL,60402,,,,,1010,Limited Business License,,,1169428,RENEW,,1/15/2016,3/22/2016,N,3/16/2016,3/15/2018,3/22/2016,3/23/2016,AAI,,,,,
2488347-20160830,2488347,409567,1,ROSA I. MONTOYA,SOUL MIND BODYWORK,3035 N MILWAUKEE AVE 1,CHICAGO,IL,60618,30,13,30-13,25,1010,Limited Business License,956 | 896,Provide Waxing Services | Skincare Services,2488347,ISSUE,8/30/2016,8/30/2016,8/30/2016,N,8/30/2016,9/15/2018,8/30/2016,8/30/2016,AAI,,,41.93643217,-87.71924411,"(41.936432172755346, -87.71924410911548)"
70443-20151216,2429922,60446,1,JUANA ZARATE,DISCOTECA ZARATE,3115 W 26TH ST 1ST,CHICAGO,IL,60623,12,6,6-Dec,10,1010,Limited Business License,,,70443,RENEW,,10/15/2015,3/21/2016,N,12/16/2015,12/15/2017,3/21/2016,4/6/2016,AAI,,25,41.84442867,-87.70323687,"(41.844428665779, -87.70323687321932)"
2488343-20160830,2488343,409562,1,TRANSITIONAL DEVELOPMENT REALTY INC.,TRANSITIONAL DEVELOPMENT REALTY INC.,29 W 159TH ST,HARVEY,IL,60426,,,,,4404,Regulated Business License,901,"Heating, Ventilation and Air Conditioning Services - Residential",2488343,ISSUE,8/30/2016,8/30/2016,8/30/2016,N,8/30/2016,9/15/2018,8/30/2016,8/30/2016,AAI,,,,,
2469408-20160830,2469408,406724,1,MO MO HOUSE CORP.,NEPAL HOUSE - NAPALESE CUISINE,2601 W DEVON AVE,CHICAGO,IL,60659,50,43,50-43,24,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2469408,ISSUE,5/20/2016,7/5/2016,7/5/2016,N,8/30/2016,9/15/2018,8/30/2016,8/30/2016,AAI,,43,41.99753534,-87.69482177,"(41.99753534020119, -87.69482177020934)"
